"","name","price","latitude","longitude"
"245","Parish Cafe and Bar",2,42.351822284275,-71.071625035216
"246","B&G Oysters",3,42.34388,-71.07123
"247","Coppa",3,42.3434049842376,-71.0684599315418
"248","Life Alive",2,42.366593014329,-71.105495948582
"249","L'Espalier",4,42.3489650343414,-71.0809740424965
"250","Pauli's",2,42.363244212396,-71.0560854227807
"251","Neptune Oyster",3,42.3632711771092,-71.0560575975533
"252","Toro",3,42.3369631861411,-71.0758940796503
"253","Island Creek Oyster Bar",3,42.348682243174,-71.095118452365
"254","Atlantic Fish",3,42.3492217873536,-71.0811272917217
"255","Mike & Patty's",1,42.348561,-71.067928
"256","Gaslight",2,42.3409677894859,-71.0673901926598
"257","Row 34",3,42.3495808510305,-71.0475044128162
"258","Flour Bakery + Café",2,42.35137,-71.04881
"259","Giacomo's Ristorante",2,42.36458,-71.05344
"260","Flour Bakery & Cafe",2,42.338443,-71.074548
"261","Picco",2,42.3448751089207,-71.0705310984679
"262","Barcelona Wine Bar South End",2,42.3449355147724,-71.0705436362457
"263","Sam LaGrassa's",2,42.35689,-71.05994
"264","Luke's Lobster Back Bay",2,42.3485592,-71.0792457
"265","Modern Pastry Shop",1,42.36324,-71.05474
"266","The Salty Pig",2,42.346881,-71.076121
"267","O Ya",4,42.3514083135866,-71.056866645813
"268","Cafe Polonia",2,42.32878,-71.05712
"269","Lolita Cocina & Tequila Bar Back Bay",2,42.3505860446405,-71.077508474716
"270","Eastern Standard Kitchen & Drinks",3,42.348740324378,-71.0960168391466
"271","The Beehive",2,42.3446991683707,-71.0713935252701
"272","Drink",3,42.35067,-71.04846
"273","James Hook & Co",2,42.3549617,-71.0509737
"274","Myers & Chang",2,42.3438187315924,-71.066250270967
"275","The Capital Grille",4,42.3478110031284,-71.0851110928626
"276","Mistral",4,42.3481578332115,-71.072759141675
"277","Yankee Lobster",2,42.347921583679,-71.035987943405
"278","Thinking Cup",2,42.3539,-71.06372
"279","El Pelón Taquería",1,42.3432217195996,-71.0989652411179
"280","Flour Bakery + Café",2,42.3482569197856,-71.0738261386231
"281","Avana Sushi",1,42.3515433311481,-71.0609420250346
"282","L'Espalier",4,42.3489650343414,-71.0809740424965
"283","B&G Oysters",3,42.34388,-71.07123
"284","Blunch",1,42.3354929990873,-71.0747301578522
"285","Coppa",3,42.3434049842376,-71.0684599315418
"286","Saus",1,42.3610800091721,-71.0570718850568
"287","Toscanini's Ice Cream",2,42.366042,-71.078206
"288","Parish Cafe and Bar",2,42.351822284275,-71.071625035216
"289","Pho Basil",2,42.3457679748535,-71.0873718261719
"290","Banh Mi Ba Le",1,42.3148574,-71.0567825
"291","Carmelina's",2,42.36388,-71.05415
"292","Abe & Louie's",3,42.3492240905762,-71.0815887451172
"293","Marliave",3,42.357014071346,-71.060306250729
"294","Shabu-Zen",2,42.3508174908521,-71.0606166602329
"295","Orinoco",2,42.33892,-71.07596
"296","Giacomo's",2,42.34406,-71.077732
"297","Shanti Indian Cuisine",2,42.312894,-71.057514
"298","Render Coffee",1,42.3411102,-71.0815582
"299","Bostonia Public House",2,42.359213,-71.054296
"300","Yvonne's",3,42.35549,-71.06141
"301","Toro",3,42.3369631861411,-71.0758940796503
"302","Neptune Oyster",3,42.3632711771092,-71.0560575975533
"303","Island Creek Oyster Bar",3,42.348682243174,-71.095118452365
"304","Atlantic Fish",3,42.3492217873536,-71.0811272917217
"305","Giacomo's Ristorante",2,42.36458,-71.05344
"306","Mike & Patty's",1,42.348561,-71.067928
"307","Blunch",1,42.3354929990873,-71.0747301578522
"308","Gaslight",2,42.3409677894859,-71.0673901926598
"309","Eastern Standard Kitchen & Drinks",3,42.348740324378,-71.0960168391466
"310","Toscanini's Ice Cream",2,42.366042,-71.078206
