,address,others,price
92,"97 E Brookline St APT 2, Boston, MA",2 bds · 1 ba · -- sqft,"$2,900/mo"
93,"134 W Concord St # 4, Boston, MA","2 bds · 1 ba · 9,999 sqft","$2,750/mo"
94,"95 E Brookline St # I, Boston, MA",2 bds · 1 ba · 900 sqft,"$2,900/mo"
95,"667 Massachusetts Ave APT 4, Boston, MA",1 bd · 1 ba · -- sqft,"$2,400/mo"
96,"212 W Springfield St # 3, Boston, MA",1 bd · 1 ba · 700 sqft,"$1,850/mo"
97,"Shawmut Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$2,850/mo"
98,"88 Waltham St APT 4, Boston, MA",2 bds · 1 ba · 764 sqft,"$2,950/mo"
99,"Massachusetts Ave, Boston, MA",1 bd · 1 ba · 700 sqft,"$2,195/mo"
100,"(undisclosed Address), Boston, MA",1 bd · 1 ba · -- sqft,"$2,000/mo"
101,"Mass Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$2,400/mo"
102,"(undisclosed Address), Boston, MA",3 bds · 1 ba · -- sqft,"$4,400/mo"
103,"1750 Washington St APT 11N, Boston, MA",3 bds · 1 ba · -- sqft,"$4,500/mo"
104,"Washington St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,800/mo"
105,"Massachusetts Ave, Boston, MA",Studio · 1 ba · -- sqft,"$1,750/mo"
106,"Northampton St, Boston, MA","4 bds · 2 ba · 1,200 sqft","$6,000/mo"
107,"37 E Springfield St, Boston, MA",2 bds · 1 ba · 701 sqft,"$2,200/mo"
108,"105 E Brookline St, Boston, MA","1 bd · 1 ba · 9,999 sqft","$3,350/mo"
109,"122 Pembroke St, Boston, MA","1 bd · 1 ba · 3,490 sqft","$2,300/mo"
110,"Harrison Ave, Boston, MA",3 bds · 1 ba · -- sqft,"$3,800/mo"
111,"Columbus Ave, Boston, MA",4 bds · 1 ba · -- sqft,"$5,600/mo"
112,"(undisclosed Address), Boston, MA",3 bds · 1 ba · -- sqft,"$4,200/mo"
113,"666 Massachusetts Ave # ID, Boston, MA","2 bds · 2 ba · 1,000 sqft","$4,200/mo"
114,"Albany St, Boston, MA",2 bds · 1.5 ba · 909 sqft,"$3,450/mo"
115,"(undisclosed Address), Boston, MA","2 bds · 1.5 ba · 1,156 sqft","$3,450/mo"
116,"(undisclosed Address), Boston, MA","2 bds · 1.5 ba · 1,156 sqft","$3,700/mo"
117,"(undisclosed Address), Boston, MA",Studio · 1 ba · 565 sqft,"$2,600/mo"
118,"12 Union Park St # 4, Boston, MA",1 bd · 1 ba · 525 sqft,"$2,525/mo"
119,"29 E Concord St # 2, Boston, MA",1 bd · 1 ba · 600 sqft,"$2,650/mo"
120,"Massachusetts Ave, Boston, MA",Studio · 1 ba · -- sqft,"$1,750/mo"
121,"Columbus Ave, Boston, MA","3 bds · 1 ba · 1,100 sqft","$4,500/mo"
122,"89 W Newton St # 2, Boston, MA",2 bds · 1 ba · -- sqft,"$3,200/mo"
123,"Worcester Sq, Boston, MA",1 bd · 1 ba · -- sqft,"$2,000/mo"
124,"238 Northampton St, Boston, MA",3 bds · 2 ba · 850 sqft,"$7,500/mo"
125,"257 Northampton St, Boston, MA",1 bd · 1 ba · 830 sqft,"$2,600/mo"
126,"106 Union Park St, Boston, MA",2 bds · 1 ba · 787 sqft,"$3,300/mo"
127,"205 W Springfield St, Boston, MA",1 bd · 1 ba · 750 sqft,"$2,950/mo"
128,"Concord Sq, Boston, MA",Studio · 1 ba · 300 sqft,"$2,800/mo"
129,"(undisclosed Address), Boston, MA",3 bds · 2 ba · 835 sqft,"$4,500/mo"
130,"18 E Springfield St # 6101822, Boston, MA",3 bds · 1 ba · 835 sqft,"$4,500/mo"
131,"603 Albany St, Boston, MA","1 bd · 1 ba · 1,200 sqft","$2,400/mo"
132,"40 W Newton St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,350/mo"
133,"296 Harrison Ave, Boston, MA","1 bd · 1 ba · 1,100 sqft","$2,700/mo"
134,"162 E Berkeley St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,750/mo"
135,"152 Worcester St, Boston, MA","1 bd · 1 ba · 9,999 sqft","$2,895/mo"
136,"677 Massachusetts Ave APT 3, Boston, MA",1 bd · 1 ba · 670 sqft,"$2,500/mo"
137,"Massachusetts Ave, Boston, MA",1 bd · 1 ba · 842 sqft,"$2,105/mo"
138,"E Springfield St, Boston, MA",2 bds · 2 ba · -- sqft,"$2,500/mo"
139,"E Newton St, Boston, MA",1 bd · 1 ba · 405 sqft,"$2,000/mo"
140,"E Springfield St, Boston, MA",1 bd · 1 ba · 450 sqft,"$2,200/mo"
141,"22 Worcester Sq # 13, Boston, MA",1 bd · 1 ba · 650 sqft,"$1,950/mo"
142,"41 W Newton St # B1, Boston, MA","2 bds · 1 ba · 1,078 sqft","$3,600/mo"
143,"666 Tremont St APT G1, Boston, MA","2 bds · 1 ba · 99,999 sqft","$2,875/mo"
144,"63 Rutland St APT 3, Boston, MA",1 bd · 1 ba · 800 sqft,"$2,700/mo"
145,"36 E Springfield St # 1A, Boston, MA",1 bd · 1 ba · 457 sqft,"$2,350/mo"
146,"87 Waltham St APT 1, Boston, MA","2 bds · 2 ba · 1,300 sqft","$4,000/mo"
147,"560 Columbus Ave APT 1, Boston, MA",1 bd · 1 ba · 480 sqft,"$2,150/mo"
148,"32 Fay St # 315, Boston, MA","1 bd · 1 ba · 9,999 sqft","$3,100/mo"
149,"796 Tremont St APT 2, Boston, MA",1 bd · 1 ba · 601 sqft,"$2,600/mo"
150,"1597 Washington St APT 608, Boston, MA",2 bds · 2 ba · 970 sqft,"$4,450/mo"
151,"E Springfield St, Boston, MA",1 bd · 1 ba · 596 sqft,"$2,350/mo"
152,"888 Tremont St, Boston, MA",3 bds · 1 ba · -- sqft,"$3,850/mo"
153,"Shawmut Ave, Boston, MA",1 bd · 1.5 ba · 897 sqft,"$3,450/mo"
154,"21 Father Francis Gilday St APT 508, Boston, MA","1 bd · 1.5 ba · 1,012 sqft","$3,650/mo"
155,"140R Shawmut Ave, Boston, MA",2 bds · 2 ba · -- sqft,"$4,624/mo"
156,"1721 Washington St, Boston, MA",2 bds · 2 ba · 950 sqft,"$3,400/mo"
157,"1663 Washington St # 303, Boston, MA",2 bds · 2 ba · -- sqft,"$3,350/mo"
158,"10 Milford St, Boston, MA",2 bds · 1 ba · 820 sqft,"$2,850/mo"
159,"1723 Washington St, Boston, MA",2 bds · 1 ba · 750 sqft,"$3,400/mo"
160,"540 Massachusetts Ave # 1C, Boston, MA",1 bd · 1 ba · -- sqft,"$3,850/mo"
161,"41 Worcester Sq APT 5, Boston, MA",1 bd · 1 ba · 450 sqft,"$2,150/mo"
162,"Mass Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$3,900/mo"
163,"351 Harrison Ave # 605, Boston, MA",1 bd · 1 ba · 600 sqft,"$3,000/mo"
164,"50 Fay St, Boston, MA",2 bds · 1 ba · 886 sqft,"$3,400/mo"
165,"756 Massachusetts Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$3,900/mo"
166,"(undisclosed Address), Boston, MA",1 bd · 1 ba · -- sqft,"$2,450/mo"
167,"34 E Newton St # 8, Boston, MA",1 bd · 1 ba · 405 sqft,"$2,000/mo"
168,"28 E Springfield St APT 5, Boston, MA",1 bd · 1 ba · -- sqft,"$2,400/mo"
169,"33 E Springfield St # 1A, Boston, MA",1 bd · 1 ba · 450 sqft,"$2,200/mo"
170,"1723 Washington St APT 401, Boston, MA",2 bds · 2 ba · 906 sqft,"$3,400/mo"
171,"700 Harrison Ave UNIT 610, Boston, MA","2 bds · 2 ba · 1,028 sqft","$3,800/mo"
172,"1180 Washington St # 101, Boston, MA",Studio · 1 ba · 855 sqft,"$2,737/mo"
173,"(undisclosed Address), Boston, MA",2 bds · 1 ba · 700 sqft,"$2,850/mo"
174,"(undisclosed Address), Boston, MA",2 bds · 1 ba · 600 sqft,"$2,400/mo"
175,"Northampton St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,100/mo"
176,"Tremont St, Boston, MA",2 bds · 1 ba · -- sqft,"$3,800/mo"
177,"Union Park, Boston, MA",1 bd · 1 ba · -- sqft,"$2,700/mo"
178,"3 bed, 1.0 bath, 1005 sqft, $3,700, 3","3 bds · 1 ba · 1,005 sqft","$3,700/mo"
179,"Massachusetts Ave, Boston, MA",2 bds · 1 ba · -- sqft,"$3,900/mo"
180,"525 Massachusetts Ave APT 3, Boston, MA","2 bds · 1 ba · 1,005 sqft","$3,600/mo"
181,"530 Massachusetts Ave APT 3, Boston, MA","3 bds · 1 ba · 1,005 sqft","$3,600/mo"
182,"Massachusetts Ave, Boston, MA",3 bds · 1 ba · -- sqft,"$3,595/mo"
183,"66 Waltham St # 4, Boston, MA",2 bds · 1 ba · -- sqft,"$3,500/mo"
184,"18 E Springfield St APT 4, Boston, MA",2 bds · 1.5 ba · 753 sqft,"$4,000/mo"
185,"(undisclosed Address), Boston, MA",2 bds · 1 ba · 668 sqft,"$3,400/mo"
186,"1313 Washington St APT 414, Boston, MA",1 bd · 1 ba · 917 sqft,"$3,750/mo"
187,"650 Massachusetts Ave, Boston, MA","2 bds · 1 ba · 1,600 sqft","$3,800/mo"
188,"Worcester St, Boston, MA",2 bds · 1 ba · -- sqft,"$4,350/mo"
189,"416 Massachusetts Ave APT 1, Boston, MA",1 bd · 1 ba · 700 sqft,"$2,200/mo"
190,"445 Shawmut Ave APT 3, Boston, MA",Studio · 1 ba · 350 sqft,"$1,800/mo"
191,"34 Worcester Sq APT 4J, Boston, MA",2 bds · 2 ba · 895 sqft,"$3,600/mo"
192,"Wellington St, Boston, MA",1 bd · 1 ba · 664 sqft,"$2,450/mo"
193,"34 Worcester Sq APT 4, Boston, MA",2 bds · 2 ba · 895 sqft,"$3,600/mo"
194,"154 W Concord St # C, Boston, MA",Studio · 1 ba · 255 sqft,"$1,950/mo"
195,"39 E Springfield St # C, Boston, MA",2 bds · 1 ba · 600 sqft,"$2,750/mo"
196,"Tremont St, Boston, MA",Studio · -- ba · -- sqft,"$1,525/mo"
197,"636 Tremont St, Boston, MA",2 bds · 1 ba · 900 sqft,"$3,500/mo"
198,"Massachusetts Ave, Boston, MA",2 bds · 1 ba · 900 sqft,"$2,400/mo"
199,"15 Waltham St APT B-605, Boston, MA",1 bd · 1 ba · 744 sqft,"$3,300/mo"
200,"(undisclosed Address), Boston, MA",2 bds · 1 ba · 725 sqft,"$2,900/mo"
201,"Hanson St, Boston, MA",2 bds · 1 ba · -- sqft,"$3,000/mo"
202,"414 Massachusetts Ave # A1, Boston, MA",1 bd · 1 ba · -- sqft,"$2,200/mo"
203,"471 Massachusetts Ave APT 4-1, Boston, MA",1 bd · 1 ba · 300 sqft,"$1,800/mo"
204,"(undisclosed Address), Boston, MA","2 bds · 1.5 ba · 1,100 sqft","$3,475/mo"
205,"Newcomb St, Boston, MA",2 bds · 1.5 ba · -- sqft,"$3,400/mo"
206,"647 Massachusetts Ave # 2CA, Boston, MA",3 bds · 2 ba · -- sqft,"$4,650/mo"
207,"652 Massachusetts Ave # 7, Boston, MA",4 bds · 2 ba · -- sqft,"$5,995/mo"
208,"592 Columbus Ave APT 1, Boston, MA",2 bds · 1 ba · 762 sqft,"$2,800/mo"
209,"664 Massachusetts Ave # 1CA, Boston, MA",3 bds · 2 ba · -- sqft,"$4,650/mo"
210,"Massachusetts Ave, Boston, MA","3 bds · 1 ba · 1,500 sqft","$4,800/mo"
211,"700 Harrison Ave UNIT 409, Boston, MA","2 bds · 1 ba · 1,245 sqft","$4,600/mo"
212,"Massachusetts Ave, Boston, MA","3 bds · 1 ba · 1,493 sqft","$4,800/mo"
213,"529 Columbus Ave APT 7, Boston, MA",2 bds · 1 ba · 811 sqft,"$3,400/mo"
214,"Columbus Ave, Boston, MA",1 bd · 1 ba · -- sqft,"$2,500/mo"
215,"31 Worcester St # 1, Boston, MA",3 bds · 1 ba · -- sqft,"$3,750/mo"
216,"E Springfield, Boston, MA",2 bds · 1.5 ba · -- sqft,"$4,000/mo"
217,"(undisclosed Address), Boston, MA",1 bd · 1 ba · 520 sqft,"$2,100/mo"
218,"1 Douglas Park # N416, Boston, MA",3 bds · 2 ba · -- sqft,"$4,400/mo"
219,"(undisclosed Address), Boston, MA",3 bds · 1 ba · 994 sqft,"$4,100/mo"
220,"290 Shawmut Ave # 1, Boston, MA",1 bd · 1 ba · 615 sqft,"$2,950/mo"
221,"788 Tremont St # 112, Boston, MA","1 bd · 1 ba · 1,000 sqft","$3,200/mo"
222,"1 Saint George St APT 3B, Boston, MA",2 bds · 2 ba · 990 sqft,"$3,900/mo"
223,"W Newton St, Boston, MA",1 bd · 1 ba · -- sqft,"$2,150/mo"
224,"13 Newcomb St # 1, Boston, MA",3 bds · 2.5 ba · -- sqft,"$4,800/mo"
225,"25 E Concord St, Boston, MA",1 bd · 0.5 ba · 750 sqft,"$2,750/mo"
226,"Massachusetts Ave, Boston, MA",3 bds · 1.5 ba · -- sqft,"$4,800/mo"
227,"15 Worcester St # 2, Boston, MA",3 bds · 1 ba · -- sqft,"$3,750/mo"
228,"7 Claremont Park # 43, Boston, MA","2 bds · 2 ba · 1,000 sqft","$3,195/mo"
229,"Tremont St, Boston, MA",2 bds · 1 ba · -- sqft,"$2,875/mo"
230,"608 Columbus Ave # 4, Boston, MA",4 bds · 1 ba · -- sqft,"$5,600/mo"
231,"17 Worcester St APT 2, Boston, MA",3 bds · 1 ba · -- sqft,"$3,900/mo"
232,"Washington St, Boston, MA",2 bds · 2 ba · -- sqft,"$4,984/mo"
233,"Washington St, Boston, MA",2 bds · 2 ba · -- sqft,"$4,914/mo"
234,"Washington St, Boston, MA",2 bds · 2 ba · -- sqft,"$4,874/mo"
235,"40 Hanson St # 2, Boston, MA",2 bds · 1 ba · -- sqft,"$3,000/mo"
236,"Washington St, Boston, MA",Studio · 1 ba · -- sqft,"$3,002/mo"
237,"Harrison Ave, Boston, MA",1 bd · 1 ba · 549 sqft,"$3,302/mo"
238,"346 Harrison Ave # 531, Boston, MA",Studio · 1 ba · 473 sqft,"$2,711/mo"
239,"Harrison Ave, Boston, MA",Studio · 1 ba · 466 sqft,"$2,606/mo"
240,"Washington St, Boston, MA",1 bd · 1 ba · -- sqft,"$3,585/mo"
241,"Washington St, Boston, MA",Studio · 1 ba · -- sqft,"$3,157/mo"
242,"Washington St, Boston, MA",Studio · 1 ba · -- sqft,"$2,992/mo"
243,"548 Columbus Ave APT 7, Boston, MA",1 bd · 1 ba · -- sqft,"$2,100/mo"
244,"Tremont St, Boston, MA",2 bds · 1 ba · -- sqft,"$3,600/mo"
245,"81 E Brookline St APT 1, Boston, MA",1 bd · 1 ba · 469 sqft,"$2,100/mo"
246,"35 Concord Sq, Boston, MA",1 bd · 1 ba · 633 sqft,"$2,450/mo"
247,"2 Wellington St, Boston, MA",1 bd · 1 ba · 736 sqft,"$2,500/mo"
248,"Massachusetts Ave, Boston, MA",5 bds · -- ba · -- sqft,"$6,850/mo"
249,"Shawmut Ave, Boston, MA",1 bd · 1.5 ba · 897 sqft,"$3,450/mo"
250,"555 Columbus Ave, Boston, MA",1 bd · 1 ba · 446 sqft,"$2,880/mo"
251,"575 Tremont St APT 201, Boston, MA",2 bds · 1 ba · 600 sqft,"$2,900/mo"
252,"Newcomb St, Boston, MA",3 bds · 2.5 ba · -- sqft,"$4,800/mo"
253,"883 Harrison Ave, Boston, MA",3 bds · 1 ba · 863 sqft,"$3,550/mo"
254,"Columbus Ave, Boston, MA",4 bds · 1 ba · -- sqft,"$4,600/mo"
255,"Massachusetts Ave, Boston, MA",2 bds · 2 ba · -- sqft,"$3,500/mo"
256,"761 Tremont St # 5, Boston, MA",Studio · 1 ba · -- sqft,"$1,600/mo"
257,"415 Massachusetts Ave APT 1, Boston, MA","3 bds · 1 ba · 1,000 sqft","$3,900/mo"
258,"1387 Washington St APT 502, Boston, MA","2 bds · 2 ba · 1,064 sqft","$3,900/mo"
259,"121 Pembroke St # 3, Boston, MA","3 bds · 2.5 ba · 2,000 sqft","$6,900/mo"
260,"(undisclosed Address), Boston, MA",2 bds · 1 ba · -- sqft,"$3,475/mo"
261,"787 Tremont St # 1, Boston, MA",1 bd · 1 ba · 750 sqft,"$2,700/mo"
262,"474 Columbus Ave, Boston, MA","2 bds · 2 ba · 1,545 sqft","$4,500/mo"
263,"19 E Springfield St, Boston, MA",1 bd · 1 ba · -- sqft,"$1,900/mo"
264,"Washington St, Boston, MA",1 bd · 1 ba · -- sqft,"$3,112/mo"
265,"329 Harrison Ave # 403, Boston, MA","3 bds · 2 ba · 1,470 sqft","$6,500/mo"
266,"(undisclosed Address), Boston, MA","4 bds · 1 ba · 1,000 sqft","$4,850/mo"
267,"34 Bradford St # 1, Boston, MA",2 bds · 1 ba · -- sqft,"$2,900/mo"
268,"75 Rutland St # 401F, Boston, MA",1 bd · 1 ba · 800 sqft,"$2,700/mo"
269,"Fay St, Boston, MA",1 bd · 1 ba · 740 sqft,"$2,725/mo"
270,"Washington St, Boston, MA",3 bds · 2 ba · -- sqft,"$4,600/mo"
271,"20 W Canton St, Boston, MA","2 bds · 1.5 ba · 1,037 sqft","$4,699/mo"
272,"16 W Canton St, Boston, MA",1 bd · 1 ba · 939 sqft,"$4,299/mo"
273,"423 Shawmut Ave APT 33M, Boston, MA",1 bd · 1 ba · -- sqft,"$2,426/mo"
274,"(undisclosed Address), Boston, MA","1 bd · 1 ba · 1,200 sqft","$3,300/mo"
